fy,nasbo,zip,state,year,quar,stateno,general_revenue,personal_income1000s_annual,pop_annual,beginbal,exprev,year1,election_year,state1,sen_cont_alt,hs_cont_alt,govparty_c,gov_non_maj_pty,veto_override_prop,veto_override_prop_elected,vote_nec_budg,vote_nec_any_tax_inc,leg_cont,split_leg,government_cont,divided_gov,simple_divided_gov,sen_dem_prop_all,sen_rep_prop_all,hs_dem_prop_all,hs_rep_prop_all,sen_dem_veto_proof,sen_rep_veto_proof,hs_dem_veto_proof,hs_rep_veto_proof,dem_veto_proof,rep_veto_proof,veto_proof,divided_gov_veto_proof,dem_unified,veto_proof_leg_oth_gov,true_government_cont_a2,true_divided_gov_a,vote_nec_any_tax_inc_dum,sen_dem_tax_super,sen_rep_tax_super,hs_dem_tax_super,hs_rep_tax_super,dem_tax_super,rep_tax_super,leg_cont_tax_super,divided_leg_tax_super,estimbalance,year2,state2,dpi_change,dpi_pc_change,pop_change,pop_pc_change,taxes,govparty_rep,hserepcontrl,senaterepcontrl,spyear,spstate,sandp,govtotalsxrep,rrr,ddd,rrd,rdr,ddr,drd,rdd,drr,dltasandp,year7,electyr,state7,stateno7,sen_cont_alt2,hs_cont_alt2,gub_election2,govparty_c2,gov_non_maj_pty2,fy8,nasbo8,zip8,state8,estimbalance2,legtotals,legsales,leginctax,legcorpinc,legcigtob,legmotofuel,legalkie,legothers,legfees,govtotals,govsales,govinctax,govcorpinc,govcigtob,govmotofuel,govalkie,govothers,govfees,var118,legtotalspctaxes,legsalespctaxes,leginctaxpctaxes,legcorpincpctaxes,legcigtobpctaxes,legmotofuelpctaxes,legalkiepctaxes,legotherspctaxes,legfeespctaxes,govtotalspctaxes,govsalespctaxes,govinctaxpctaxes,govcorpincpctaxes,govcigtobpctaxes,govmotofuelpctaxes,govalkiepctaxes,govotherspctaxes,govfeespctaxes,stateno9,state_name9,elect_year9,sen_dem_prop,hs_dem_prop,dem_gub_prop_last_elect,govtotalspctaxesrepgov,govname1,dem_comp_score,dem_gov,dem_comp_score2,repgovaverage,state9,var149,year9,biennium,biennium_b,biennium_first_year,biennium_second_year,var155,gub_election,gub_election_regime,govparty_d,rep_gov,demgov_ideol,repgov_ideol,demsen,repsen,demhse,rephse,repunified,demunified,repunifiedideo,demunifiedideo,repgovtotals,repgovsales,repgovinc,repgovcorp,demgovtotals,demgovsales,demgovinc,demgovcrp,dem_gub_prop_last_elect2,rep_gub_prop_last_elect2,dem_gub_prop_last_elect3,rep_gub_prop_last_elect3,zip3,stateshor,yearnasbo,st,alpha,var188,hou_chamber,sen_chamber,hou_dem,hou_rep,hou_majority,sen_dem,sen_rep,sen_majority,var190,var191,average,allstdev,allavg,distance,placeinprimary,absideol,sumofideol,var199,var200,var201,var202,var203,repgovideology,demgovideology,govtotalspctaxesrep,govtotalspctaxesdem
1990,Mar. 1989,MS,Mississippi,1989,2.5,24,4.20E+09,3.40E+10,2.60E+06,84,1848,1989,1988,Mississippi,1,1,1,0,0.666667,1,0.5,0.6,1,0,1,0,0,0.846154,0.153846,0.918033,0.073771,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,5,1989,Mississippi,2.00E+06,6.67,0,0,2.30E+09,0,0,0,1990,Mississippi,8.67,0,0,0,0,0,0,0,0,1,0,1990,1989,Mississippi,24,1,1,0,1,0,1990,Mar. 1989,MS,Mississippi,5.00E+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.30E+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,Mississippi,1988,0.846154,0.92562,0.5344,0,"Mabus, Ray",0.0344,1,0.0344,0,Mississippi,24,1989,1988,1988,0,1,"Mabus, Ray",0,1991,1,0,-1,0,1,0,1,0,0,1,0,-1,0,0,0,0,0,0,0,0,0.5344,0.4656,0.5344,0,MS,Mississippi,1989,,,,,,,,,,,,1989,Mississippi,-1,1.27,-1.11,0,1,1.11111,1.77,1989,Mississippi,Mississippi,1989,"Mabus, Ray",0,-1,0,0
1991,Mar. 1990,MS,Mississippi,1990,2.5,24,4.50E+09,3.60E+10,2.60E+06,5,1944,1990,1989,Mississippi,1,1,1,0,0.666667,1,0.5,0.6,1,0,1,0,0,0.846154,0.153846,0.860656,0.139344,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1990,Mississippi,2.00E+06,6.25,0,0,2.40E+09,0,0,0,1991,Mississippi,8.67,0,0,0,0,0,0,0,0,1,0,1991,1990,Mississippi,24,1,1,0,1,0,1991,Mar. 1990,MS,Mississippi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.40E+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,Mississippi,1989,0.846154,0.92562,0.5344,0,"Mabus, Ray",0.0344,1,0.0344,0,Mississippi,24,1990,1990,1990,1,0,"Mabus, Ray",0,1991,1,0,-1,0,1,0,1,0,0,1,0,-1,0,0,0,0,0,0,0,0,0.5344,0.4656,0.5344,0,MS,Mississippi,1990,,,,,,,,,,,,1990,Mississippi,-1,1.27,-1.11,0,1,1.11111,1.77,1990,Mississippi,Mississippi,1990,"Mabus, Ray",0,-1,0,0
1992,Apr. 1991,MS,Mississippi,1991,2.5,24,4.90E+09,3.80E+10,2.60E+06,4,1969,1991,1990,Mississippi,1,1,1,0,0.666667,1,0.5,0.6,1,0,1,0,0,0.846154,0.153846,0.819672,0.155738,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1991,Mississippi,2.00E+06,5.88,0,0,2.50E+09,0,0,0,1992,Mississippi,8.67,0,0,0,0,0,0,0,0,1,0,1992,1991,Mississippi,24,1,1,1,0,0,1992,Apr. 1991,MS,Mississippi,1.00E+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.50E+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,Mississippi,1990,0.846154,0.92562,0.5344,0,"Mabus, Ray",0.0344,0,0,0,Mississippi,24,1991,1990,1990,0,1,"Mabus, Ray",1,1991,1,0,-1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5344,0.4656,0.5344,0,MS,Mississippi,1991,,,,,,,,,,,,1991,Mississippi,-1,1.27,-1.11,-4,1,1.11111,1.77,1991,Mississippi,Mississippi,1991,"Mabus, Ray",0,-1,0,0
1993,Apr. 1992,MS,Mississippi,1992,2.5,24,5.30E+09,4.10E+10,2.70E+06,13,2147,1992,1991,Mississippi,1,1,0,0,0.666667,1,0.5,0.6,1,0,0.666667,1,1,0.826923,0.173077,0.795082,0.188525,1,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,0,1,0,1,0,107,1992,Mississippi,2.00E+06,5.56,0,0,2.50E+09,1,0,0,1993,Mississippi,8.67,0,1,0,0,0,0,0,0,0,0,1993,1992,Mississippi,24,1,1,0,0,0,1993,Apr. 1992,MS,Mississippi,1.10E+08,1.70E+08,1.70E+08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.50E+09,6.64,6.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,Mississippi,1991,0.826923,0.809917,0.4835,0,"Mabus, Ray",-0.0165,0,0,2.86,Mississippi,24,1992,1992,1992,1,0,"Fordice, Kirk",0,1995,0,1,0,2.86,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4835,0.5165,0,0.5165,MS,Mississippi,1992,,,,,,,,,,,,1992,Mississippi,2.86,0.33,2.89,0,1,2.88889,2.89,1992,Mississippi,Mississippi,1992,"Fordice, Kirk",2.86,0,0,0
1994,4/1/93,MS,Mississippi,1993,2.5,24,6.00E+09,4.40E+10,2.70E+06,88,2393,1993,1992,Mississippi,1,1,0,0,0.666667,1,0.5,0.6,1,0,0.666667,1,1,0.75,0.25,0.795082,0.180328,1,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,0,1,0,1,0,237,1993,Mississippi,3.00E+06,7.89,100000,3.85,3.00E+09,1,0,0,1994,Mississippi,8.67,0,1,0,0,0,0,0,0,0,0,1994,1993,Mississippi,24,1,1,0,0,0,1994,4/1/93,MS,Mississippi,2.40E+08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.00E+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,Mississippi,1992,0.75,0.8,0.4835,0,"Fordice, Kirk",-0.0165,0,0,2.86,Mississippi,24,1993,1992,1992,0,1,"Fordice, Kirk",0,1995,0,1,0,2.86,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4835,0.5165,0,0.5165,MS,Mississippi,1993,MS,24,1993,,,,,,,,,1993,Mississippi,2.86,0.33,2.89,0,1,2.88889,2.89,1993,Mississippi,Mississippi,1993,"Fordice, Kirk",2.86,0,0,0
1995,Apr. 1994,MS,Mississippi,1994,2.5,24,6.60E+09,4.70E+10,2.70E+06,166,2620,1994,1993,Mississippi,1,1,0,0,0.666667,1,0.5,0.6,1,0,0.666667,1,1,0.692308,0.288462,0.795082,0.180328,1,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,0,1,0,1,0,134,1994,Mississippi,3.00E+06,7.32,0,0,3.30E+09,1,0,0,1995,Mississippi,8.67,-71.5,1,0,0,0,0,0,0,0,0,1995,1994,Mississippi,24,1,1,0,0,0,1995,Apr. 1994,MS,Mississippi,1.30E+08,-1.30E+07,0,-2.50E+06,-1.00E+07,0,0,0,0,0,-7.20E+07,0,-7.20E+07,0,0,0,0,0,0,3.30E+09,-0.379,0,-0.076,-0.303,0,0,0,0,0,-2.182,0,-2.182,0,0,0,0,0,0,24,Mississippi,1993,0.75,0.8,0.4835,-2.182,"Fordice, Kirk",-0.0165,0,0,2.86,Mississippi,24,1994,1994,1994,1,0,"Fordice, Kirk",0,1995,0,1,0,2.86,1,0,1,0,0,0,0,0,-2.182,0,-2.182,0,0,0,0,0,0.4835,0.5165,0,0.5165,MS,Mississippi,1994,MS,24,1994,,,,,,,,,1994,Mississippi,2.86,0.33,2.89,0,1,2.88889,2.89,1994,Mississippi,Mississippi,1994,"Fordice, Kirk",2.86,0,-2.182,0
1996,Apr. 1995,MS,Mississippi,1995,2.5,24,7.10E+09,5.00E+10,2.70E+06,115,2702,1995,1994,Mississippi,1,1,0,0,0.666667,1,0.5,0.6,1,0,0.666667,1,1,0.653846,0.346154,0.721312,0.254098,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,43,1995,Mississippi,3.00E+06,6.82,0,0,3.60E+09,1,0,0,1996,Mississippi,9,-11.3,1,0,0,0,0,0,0,0,0.33,1996,1995,Mississippi,24,1,1,1,0,0,1996,Apr. 1995,MS,Mississippi,4.30E+07,0,0,0,0,0,0,0,0,0,-1.10E+07,0,-1.10E+07,0,0,0,0,0,0,3.60E+09,0,0,0,0,0,0,0,0,0,-0.306,0,-0.306,0,0,0,0,0,0,24,Mississippi,1994,0.75,0.8,0.4835,-0.306,"Fordice, Kirk",-0.0165,0,0,2.86,Mississippi,24,1995,1994,1994,0,1,"Fordice, Kirk",1,1995,0,1,0,2.86,1,0,1,0,0,0,0,0,-0.306,0,-0.306,0,0,0,0,0,0.4835,0.5165,0,0.5165,MS,Mississippi,1995,MS,24,1995,,,,,,,,,1995,Mississippi,2.86,0.33,2.89,0,1,2.88889,2.89,1995,Mississippi,Mississippi,1995,"Fordice, Kirk",2.86,0,-0.306,0
1997,Apr. 1996,MS,Mississippi,1996,2.5,24,7.50E+09,5.20E+10,2.80E+06,86,2862,1996,1995,Mississippi,1,1,0,0,0.666667,1,0.5,0.6,1,0,0.666667,1,1,0.653846,0.346154,0.696721,0.278688,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,63,1996,Mississippi,3.00E+06,6.38,0,0,3.90E+09,1,0,0,1997,Mississippi,9,-12,1,0,0,0,0,0,0,0,0,1997,1996,Mississippi,24,1,1,0,0,0,1997,Apr. 1996,MS,Mississippi,6.30E+07,0,0,0,0,0,0,0,0,0,-1.20E+07,0,-1.20E+07,0,0,0,0,0,0,3.90E+09,0,0,0,0,0,0,0,0,0,-0.308,0,-0.308,0,0,0,0,0,0,24,Mississippi,1995,0.653846,0.714286,0.4444,-0.308,"Fordice, Kirk",-0.0556,0,0,2.86,Mississippi,24,1996,1996,1996,1,0,"Fordice, Kirk",0,1999,0,1,0,2.86,1,0,1,0,0,0,0,0,-0.308,0,-0.308,0,0,0,0,0,0.4444,0.5556,0,0.5556,MS,Mississippi,1996,MS,24,1996,0.244,0.466,0.039,0.909,0.039,0.153,1.015,0.153,1996,Mississippi,2.86,0.33,2.89,0,1,2.88889,2.89,1996,Mississippi,Mississippi,1996,"Fordice, Kirk",2.86,0,-0.308,0
1998,Apr. 1997,MS,Mississippi,1997,2.5,24,7.90E+09,5.60E+10,2.80E+06,94,3042,1997,1996,Mississippi,1,1,0,0,0.666667,1,0.5,0.6,1,0,0.666667,1,1,0.653846,0.346154,0.688525,0.286885,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,56,1997,Mississippi,2.00E+06,4,100000,3.7,4.00E+09,1,0,0,1998,Mississippi,9,-2.5,1,0,0,0,0,0,0,0,0,1998,1997,Mississippi,24,1,1,0,0,0,1998,Apr. 1997,MS,Mississippi,5.60E+07,-2.50E+06,0,-2.50E+06,0,0,0,0,0,0,-2.50E+06,0,-2.50E+06,0,0,0,0,0,0,4.00E+09,-0.063,0,-0.063,0,0,0,0,0,0,-0.063,0,-0.063,0,0,0,0,0,0,24,Mississippi,1996,0.653846,0.714286,0.4444,-0.063,"Fordice, Kirk",-0.0556,0,0,2.86,Mississippi,24,1997,1996,1996,0,1,"Fordice, Kirk",0,1999,0,1,0,2.86,1,0,1,0,0,0,0,0,-0.063,0,-0.063,0,0,0,0,0,0.4444,0.5556,0,0.5556,MS,Mississippi,1997,MS,24,1997,0.226,0.466,0.023,0.869,0.023,0.153,0.989,0.153,1997,Mississippi,2.86,0.33,2.89,0,1,2.88889,2.89,1997,Mississippi,Mississippi,1997,"Fordice, Kirk",2.86,0,-0.063,0
1999,May-98,MS,Mississippi,1998,2.5,24,8.40E+09,5.80E+10,2.80E+06,101,3217,1998,1997,Mississippi,1,1,0,0,0.666667,1,0.5,0.6,1,0,0.666667,1,1,0.653846,0.346154,0.688525,0.295082,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,96,1998,Mississippi,4.00E+06,7.69,0,0,4.20E+09,1,0,0,1999,Mississippi,9,0,1,0,0,0,0,0,0,0,0,1999,1998,Mississippi,24,1,1,0,0,0,1999,May-98,MS,Mississippi,9.60E+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.20E+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,Mississippi,1997,0.653846,0.714286,0.4444,0,"Fordice, Kirk",-0.0556,0,0,2.86,Mississippi,24,1998,1998,1998,1,0,"Fordice, Kirk",0,1999,0,1,0,2.86,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4444,0.5556,0,0.5556,MS,Mississippi,1998,MS,24,1998,0.219,0.466,0.01,0.851,0.01,0.153,0.989,0.153,1998,Mississippi,2.86,0.33,2.89,0,1,2.88889,2.89,1998,Mississippi,Mississippi,1998,"Fordice, Kirk",2.86,0,0,0
2000,Jun-99,MS,Mississippi,1999,2.5,24,9.00E+09,6.10E+10,2.80E+06,124,3433,1999,1998,Mississippi,1,1,0,0,0.666667,1,0.5,0.6,1,0,0.666667,1,1,0.653846,0.346154,0.688525,0.295082,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,39,1999,Mississippi,2.00E+06,3.57,0,0,4.60E+09,1,0,0,2000,Mississippi,9,-50.5,1,0,0,0,0,0,0,0,0,2000,1999,Mississippi,24,1,1,1,1,0,2000,Jun-99,MS,Mississippi,3.90E+07,0,0,0,0,0,0,0,0,0,-5.10E+07,0,-5.10E+07,0,0,0,0,0,0,4.60E+09,0,0,0,0,0,0,0,0,0,-1.109,0,-1.109,0,0,0,0,0,0,24,Mississippi,1998,0.653846,0.714286,0.4444,-1.109,"Fordice, Kirk",-0.0556,1,-0.0556,2.86,Mississippi,24,1999,1998,1998,0,1,"Fordice, Kirk",1,1999,0,1,0,2.86,1,0,1,0,0,1,0,2.86,-1.109,0,-1.109,0,0,0,0,0,0.4444,0.5556,0,0.5556,MS,Mississippi,1999,MS,24,1999,0.212,0.466,-0.02,0.83,-0.02,0.153,0.989,0.153,1999,Mississippi,2.86,0.33,2.89,0,1,2.88889,2.89,1999,Mississippi,Mississippi,1999,"Fordice, Kirk",2.86,0,-1.109,0
2001,Aug. 2000,MS,Mississippi,2000,2.5,24,9.60E+09,6.50E+10,2.90E+06,21,3444,2000,1999,Mississippi,1,1,1,0,0.666667,1,0.5,0.6,1,0,1,0,0,0.653846,0.346154,0.704918,0.270492,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,2000,Mississippi,3.00E+06,5.17,0,0,4.70E+09,0,0,0,2001,Mississippi,9,0,0,0,0,0,0,0,0,1,0,2001,2000,Mississippi,24,1,1,0,1,0,2001,Aug. 2000,MS,Mississippi,1.00E+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.70E+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,Mississippi,1999,0.653846,0.722689,0.5056,0,"Fordice, Kirk",0.0056,1,0.0056,0,Mississippi,24,2000,2000,2000,1,0,"Musgrove, Ronnie",0,2003,1,0,0.38,0,1,0,1,0,0,1,0,0.38,0,0,0,0,0,0,0,0,0.5056,0.4944,0.5056,0,MS,Mississippi,2000,MS,24,2000,0.14,0.519,-0.03,0.827,-0.03,0.153,1.028,0.153,2000,Mississippi,0.38,0.69,0.45,0,1,0.454545,0.88,2000,Mississippi,Mississippi,2000,"Musgrove, Ronnie",0,0.38,0,0
2002,1-Jun,MS,Mississippi,2001,2.5,24,1.00E+10,6.60E+10,2.90E+06,5,3371,2001,2000,Mississippi,1,1,1,0,0.666667,1,0.5,0.6,1,0,1,0,0,0.653846,0.346154,0.704918,0.270492,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,5,2001,Mississippi,4.00E+06,6.56,100000,3.57,4.70E+09,0,0,0,2002,Mississippi,9,0,0,0,0,0,0,0,0,1,0,2002,2001,Mississippi,24,1,1,0,1,0,2002,1-Jun,MS,Mississippi,5.00E+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.70E+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,Mississippi,2000,0.653846,0.722689,0.5056,0,"Musgrove, Ronnie",0.0056,1,0.0056,0,Mississippi,24,2001,2000,2000,0,1,"Musgrove, Ronnie",0,2003,1,0,0.38,0,1,0,1,0,0,1,0,0.38,0,0,0,0,0,0,0,0,0.5056,0.4944,0.5056,0,MS,Mississippi,2001,MN,23,2001,0.375,-0.663,-1.115,0.814,0.814,-0.981,0.643,-0.981,2001,Mississippi,0.38,0.69,0.45,0,1,0.454545,0.88,2001,Mississippi,Mississippi,2001,"Musgrove, Ronnie",0,0.38,0,0
2003,2-May,MS,Mississippi,2002,2.5,24,1.10E+10,6.90E+10,2.90E+06,12,3443,2002,2001,Mississippi,1,1,1,0,0.666667,1,0.5,0.6,1,0,1,0,0,0.653846,0.346154,0.704918,0.270492,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,45,2002,Mississippi,1.00E+06,1.54,0,0,4.70E+09,0,0,0,2003,Mississippi,9,0,0,0,0,0,0,0,0,1,0,2003,2002,Mississippi,24,1,1,0,1,0,2003,2-May,MS,Mississippi,4.50E+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.70E+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,Mississippi,2001,0.653846,0.722689,0.5056,0,"Musgrove, Ronnie",0.0056,1,0.0056,0,Mississippi,24,2002,2002,2002,1,0,"Musgrove, Ronnie",0,2003,1,0,0.38,0,1,0,1,0,0,1,0,0.38,0,0,0,0,0,0,0,0,0.5056,0.4944,0.5056,0,MS,Mississippi,2002,MS,24,2002,0.14,0.539,-0.03,0.821,-0.03,0.121,1.024,0.121,2002,Mississippi,0.38,0.69,0.45,0,1,0.454545,0.88,2002,Mississippi,Mississippi,2002,"Musgrove, Ronnie",0,0.38,0,0
2004,3-Jun,MS,Mississippi,2003,2.5,24,1.20E+10,7.30E+10,2.90E+06,20,3521,2003,2002,Mississippi,1,1,1,0,0.666667,1,0.5,0.6,1,0,1,0,0,0.615385,0.384615,0.672131,0.303279,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,3,2003,Mississippi,3.00E+06,4.55,0,0,5.00E+09,0,0,0,2004,Mississippi,9,0,0,0,0,0,0,0,0,1,0,2004,2003,Mississippi,24,1,1,1,0,0,2004,3-Jun,MS,Mississippi,3.00E+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.00E+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,Mississippi,2002,0.653846,0.722689,0.5056,0,"Musgrove, Ronnie",0.0056,0,0,0,Mississippi,24,2003,2002,2002,0,1,"Musgrove, Ronnie",1,2003,1,0,0.38,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5056,0.4944,0.5056,0,MS,Mississippi,2003,MS,24,2003,0.14,0.56,-0.078,0.765,-0.078,-0.008,0.978,-0.008,2003,Mississippi,0.38,0.69,0.45,-2.08,1,0.454545,0.88,2003,Mississippi,Mississippi,2003,"Musgrove, Ronnie",0,0.38,0,0
2005,Apr. 2004,MS,Mississippi,2004,2.5,24,1.20E+10,7.80E+10,2.90E+06,3,3727,2004,2003,Mississippi,1,1,0,0,0.666667,1,0.5,0.6,1,0,0.666667,1,1,0.576923,0.423077,0.655738,0.344262,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,22,2004,Mississippi,4.00E+06,5.8,0,0,5.10E+09,1,0,0,2005,Mississippi,9,0,1,0,0,0,0,0,0,0,0,2005,2004,Mississippi,24,1,1,0,0,0,2005,Apr. 2004,MS,Mississippi,2.20E+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.10E+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,Mississippi,2003,0.576923,0.655738,0.4656,0,"Musgrove, Ronnie",-0.0344,0,0,2.5,Mississippi,24,2004,2004,2004,1,0,"Barbour, Haley",0,2007,0,1,0,2.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4656,0.5344,0,0.5344,MS,Mississippi,2004,MS,24,2004,0.267,0.542,-0.117,0.779,-0.117,-0.274,1.011,-0.274,2004,Mississippi,2.5,0.52,2.53,0,1,2.53333,4.53,2004,Mississippi,Mississippi,2004,"Barbour, Haley",2.5,0,0,0
2006,5-Jul,MS,Mississippi,2005,2.5,24,1.30E+10,8.10E+10,2.90E+06,52,4333,2005,2004,Mississippi,1,1,0,0,0.666667,1,0.5,0.6,1,0,0.666667,1,1,0.538462,0.461538,0.614754,0.385246,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,2005,Mississippi,5.00E+06,6.85,0,0,5.40E+09,1,0,0,2006,Mississippi,9,0,1,0,0,0,0,0,0,0,0,2006,2005,Mississippi,24,1,1,0,0,0,2006,5-Jul,MS,Mississippi,0,5.00E+06,0,0,0,0,0,0,0,5.00E+06,0,0,0,0,0,0,0,0,0,5.40E+09,0.093,0,0,0,0,0,0,0,0.093,0,0,0,0,0,0,0,0,0,24,Mississippi,2004,0.576923,0.655738,0.4656,0,"Barbour, Haley",-0.0344,0,0,2.5,Mississippi,24,2005,2004,2004,0,1,"Barbour, Haley",0,2007,0,1,0,2.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4656,0.5344,0,0.5344,MS,Mississippi,2005,MS,24,2005,0.257,0.544,-0.122,0.779,-0.122,-0.274,1.024,-0.274,2005,Mississippi,2.5,0.52,2.53,0,1,2.53333,4.53,2005,Mississippi,Mississippi,2005,"Barbour, Haley",2.5,0,0,0
2007,6-Jun,MS,Mississippi,2006,2.5,24,1.50E+10,8.70E+10,2.90E+06,35,4790,2006,2005,Mississippi,1,1,0,0,0.666667,1,0.5,0.6,1,0,0.666667,1,1,0.538462,0.461538,0.606557,0.385246,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,150,2006,Mississippi,3.00E+06,3.85,0,0,6.00E+09,1,0,0,2007,Mississippi,9,0,1,0,0,0,0,0,0,0,0,2007,2006,Mississippi,24,0.5,1,0,0,0,2007,6-Jun,MS,Mississippi,1.50E+08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.00E+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,Mississippi,2005,0.576923,0.655738,0.4656,0,"Barbour, Haley",-0.0344,0,0,2.5,Mississippi,24,2006,2006,2006,1,0,"Barbour, Haley",0,2007,0,1,0,2.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4656,0.5344,0,0.5344,MS,Mississippi,2006,MS,24,2006,0.247,0.572,-0.146,0.779,-0.146,-0.396,1.028,1.028,2006,Mississippi,2.5,0.52,2.53,0,1,2.53333,4.53,2006,Mississippi,Mississippi,2006,"Barbour, Haley",2.5,0,0,0
2008,7-Jun,MS,Mississippi,2007,2.5,24,1.70E+10,9.10E+10,2.90E+06,226,4954,2007,2006,Mississippi,0.5,1,0,0,0.666667,1,0.5,0.6,0.75,1,0.5,1,0,0.5,0.5,0.598361,0.393443,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,66,2007,Mississippi,6.00E+06,7.41,0,0,6.50E+09,1,0,0,2008,Mississippi,9,0,0,0,0,0,0,0,0,0,0,2008,2007,Mississippi,24,1,1,1,0,0,2008,7-Jun,MS,Mississippi,6.60E+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.50E+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,Mississippi,2006,0.576923,0.655738,0.4656,0,"Barbour, Haley",-0.0344,0,0,2.5,Mississippi,24,2007,2006,2006,0,1,"Barbour, Haley",1,2007,0,1,0,2.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4656,0.5344,0,0.5344,MS,Mississippi,2007,MS,24,2007,0.247,0.626,-0.146,0.779,-0.146,-0.396,1.024,1.024,2007,Mississippi,2.5,0.52,2.53,0,1,2.53333,4.53,2007,Mississippi,Mississippi,2007,"Barbour, Haley",2.5,0,0,0
